年,演題,著者,発表者,学会・講演会,日付,国内・国際,招待区分,発表形式,テーマ,仕事区分,表示
2026,Navigating Chemical Space: In Search of Intriguing Molecules,Kensuke Suga,Kensuke Suga,The 5th PGFD Area Online Seminar,26-Sep,国内,招待,口頭,化学空間,須賀グループ,
2026,π共役分子の表現・生成・探索とその未来,須賀 健介,須賀 健介,近畿化学協会 コンピュータ化学部会 公開講演会（第125回例会）,26-Jul,国内,招待,口頭,化学空間,須賀グループ,
2026,物性差分で複雑性を俯瞰する高度π分子探索基盤の構築,須賀 健介,須賀 健介,π分子複雑性 第2回領域会議,26-May,国内,,口頭,化学空間,須賀グループ,
2026,物性差分で複雑性を俯瞰する高度π分子探索基盤の構築,須賀 健介,須賀 健介,π分子複雑性 第2回領域会議,26-May,国内,,ポスター,化学空間,須賀グループ,
2026,π共役特化型分子生成で辿る物性パレート最前線,須賀 健介; 高橋 隼人; 寺山 慧; 隅田 真人; 齊藤 尚平,須賀 健介,日本化学会第106春季年会,26-Apr,国内,一般,口頭,化学空間,須賀グループ,
2025,ルールベースπ分子生成による探索空間設計,須賀 健介; 大野 滉太; 寺山 慧; 隅田 真人; 齊藤 尚平,須賀 健介,第48回ケモインフォマティクス討論会,25-Aug,国内,一般,口頭,化学空間,須賀グループ,
2025,π共役炭化水素の効率的探索に向けたルールベース分子生成,須賀 健介; 高橋 隼人; 寺山 慧; 隅田 真人; 齊藤 尚平,須賀 健介,第35回基礎有機化学討論会,25-Sep,国内,一般,口頭,化学空間,須賀グループ,
2025,Dual Emissive Fluorescent Probes for Polymer Science,Kensuke Suga; Takuya Yamakado; Shohei Saito,Kensuke Suga,2025 Osaka-Mahidol University Academic Exchange Program,25-Jun,国際,招待,口頭,,,
2025,Dual Emissive Fluorescent Probes for Polymer Science,Kensuke Suga; Takuya Yamakado; Shohei Saito,Kensuke Suga,The 1st KU-OU Bilateral Symposium,25-Jun,国際,招待,口頭,,,
2025,Dual Ratiometric Fluorescence Monitoring of Mechanical Polymer Chain Stretching and Subsequent Strain-Induced Crystallization,Kensuke Suga; Takuya Yamakado; Shohei Saito,Kensuke Suga,19th International Symposium on Macrocyclic and Supramolecular Chemistry 2025,25-May,国際,一般,ポスター,,,
2025,ルールベースの構造操作によるπ共役炭化水素の計算科学的探索,須賀 健介; 高橋 隼人; 寺山 慧; 隅田 真人; 齊藤 尚平,須賀 健介,日本化学会第105春季年会,25-Mar,国内,一般,口頭,,,
2025,“デュアル”蛍光レシオイメージングによる高分子鎖の伸長と延伸結晶化の同時追跡,須賀 健介,須賀 健介,京都大学理学共創コンソーシアム,25-Feb,国内,一般,ポスター,,,
2024,Dual Ratiometric Fluorescence Monitoring of Mechanical Polymer Chain Stretching and Subsequent Strain-Induced Crystallization,Kensuke Suga; Takuya Yamakado; Shohei Saito,Kensuke Suga,Gel Symposium 2024,24-Nov,国際,一般,ポスター,,,
2024,高分子鎖の「伸長」と「結晶化」の同時並列的蛍光イメージング,須賀 健介; 山角 拓也; 齊藤 尚平,須賀 健介,2024年日本液晶学会討論会,24-Sep,国内,一般,ポスター,,,
2024,Dual Ratiometric Fluorescence Monitoring of Mechanical Polymer Chain Stretching and Subsequent Strain-Induced Crystallization,Kensuke Suga; Takuya Yamakado; Shohei Saito,Kensuke Suga,"Multiscale Mechanochemistry and Mechanobiology, Gordon Research Conference",24-Jul,国際,一般,ポスター,,,
2024,Controlling dual emission properties of the flapping molecules by electronic tuning,Kensuke Suga; Shohei Saito,Kensuke Suga,The 104th CSJ Annual Meeting,24-Mar,国内,一般,口頭,,,
2024,Dual Ratiometric Fluorescence Monitoring of Mechanical Polymer Chain Stretching and Subsequent Strain-Induced Crystallization,Kensuke Suga; Shohei Saito,Kensuke Suga,38th Australasian Polymer Symposium,24-Feb,国際,一般,ポスター,,,
2023,Dual Ratiometric Fluorescence Monitoring of Mechanical Polymer Chain Stretching and Subsequent Strain-Induced Crystallization,Kensuke Suga; Shohei Saito,Kensuke Suga,2023 PolyNSW Early Career Researcher Symposium,23-Nov,国際,一般,口頭,,,
2023,蛍光Force Probeを導入したエラストマーの延伸による２段階の蛍光応答,須賀 健介; 齊藤尚平,須賀 健介,分子研研究会「生体分子材料を探る：発動分子のさらなる理解と設計に向けて」,23-Mar,国内,一般,ポスター,,,
2023,Fluorescent probe showing a two-step spectral change in response to polymer chain tension and strain-induced crystallization,Kensuke Suga; Mitsuo Hara; Takuya Yamakado; Shohei Saito,Kensuke Suga,The 103rd CSJ Annual Meeting,23-Mar,国内,一般,口頭,,,
2022,蛍光Force Probeを導入したエラストマーの延伸による２段階の蛍光応答,須賀 健介; 齊藤 尚平,須賀 健介,第70回レオロジー討論会,22-Oct,国内,一般,ポスター,,,
2022,Two-Step Color Change of a Fluorescent Force Probe in Stretched Polymer Films,Kensuke Suga; Takuya Yamakado; Shohei Saito,Kensuke Suga,Annual Meeting on Photochemistry 2022,22-Sep,国内,一般,ポスター,,,
2022,外部応力により可逆的な二段階の蛍光色変化を示すセグメント化ポリウレタンの開発,須賀 健介; 山角 拓也; 齊藤 尚平,須賀 健介,第71回⾼分⼦討論会,22-Sep,国内,一般,口頭,,,
2022,Two-Step Fluorescence Color Change of a Force Probe in Stretched Elastomers,Kensuke Suga; Takuya Yamakado; Shohei Saito,Kensuke Suga,PhotoIUPAC 2022 conference,22-Jul,国際,一般,ポスター,,,
2022,ポリウレタンエラストマーの延伸による羽ばたく分子の二段階蛍光変化,須賀 健介; 山角 拓也; 齊藤 尚平,須賀 健介,高分子若手研究会,22-Jul,国内,一般,ポスター,,,
2022,相転移挙動の予測と制御に向けたインシリコ液晶ライブラリの構築,須賀 健介; 内田 幸明; 鍛冶 静雄; 齊藤 尚平,須賀 健介,日本化学会第102春季年会,22-Mar,国内,一般,口頭,,,
2021,Two-step fluorescence color change of stress-responsive polyurethanes that incorporate a flapping molecule,Kensuke Suga; Takuya Yamakado; Shohei Saito,Kensuke Suga,19th Optics of Liquid Crystals (OLC2021),21-Sep,国際,一般,ポスター,,,
2021,蛍光張力プローブを組み込んだポリウレタンの延伸による二段階蛍光変化,須賀 健介; 山角 拓也; 齊藤 尚平,須賀 健介,第70回⾼分⼦討論会,21-Sep,国内,一般,口頭,,,
2021,光軟化する高分子材料を目指した新しい光応答V字型分子骨格の開発,須賀 健介; 山角 拓也; 齊藤 尚平,須賀 健介,日本化学会第101春季年会,21-Mar,国内,一般,口頭,,,
2020,Flapping molecular unit for creating photomelting physical crosslinks in polymers,Kensuke Suga; Takuya Yamakado; Shohei Saito,Kensuke Suga,Online Annual Meeting on Photochemistry,20-Sep,国内,一般,ポスター,,,
2020,Fluorescent flapping mechanophore bearing phenazineimide groups,Kensuke Suga; Takuya Yamakado; Atsuhiro Osuka; Shohei Saito,Kensuke Suga,The 100th CSJ Annual Meeting,20-Mar,国内,一般,ポスター,,,
