年,タイトル,著者,責任著者,掲載誌,巻,号,ページ,DOI,種別,テーマ,共同研究,仕事区分,代表,紹介文,注記,表示,確認元,ChemRxiv
2026,Defining a Chemical Space of π-Conjugated Hydrocarbons by Unit-Based Construction,Kensuke Suga; Hayato Takahashi; Kei Terayama; Masato Sumita; Shohei Saito,Kensuke Suga,Journal of Chemical Information and Modeling,66,9,5260-5271,10.1021/acs.jcim.6c00213,,化学空間,,須賀グループ,1,構造変換のルールに基づき、π共役炭化水素の化学空間を定義する分子生成法CARBOTを開発しました。多様な分子骨格を系統的に生成し、分子探索の基盤を提供します。,,,https://pub.orcid.org/v3.0/0000-0003-3893-2172/work/212016148; https://api.crossref.org/works/10.1021/acs.jcim.6c00213; https://shohei-saito.webnode.jp/publication/,https://www.cambridge.org/engage/chemrxiv/article-details/694a3ccaafb3b11118d490df
2026,"Excited-state aromatic dithieno[b,f]arsepins: dual fluorescence for wide-range quantitative viscosity analysis",Koki Mizuta; Kotaro Yamamoto; Kensuke Suga; Shohei Saito; Yusuke Yoneda; Hikaru Kuramochi; Takumi Yanagihara; Shunichiro Ito; Kazuo Tanaka; Shunsuke Yamamoto; Hideo Ohkita; Takahiro Iwamoto; Kensuke Naka; Hiroaki Imoto,Hiroaki Imoto,Materials Chemistry Frontiers,,,,10.1039/d6qm00409a,,,京都工芸繊維大学・井本裕顕先生,他グループ主導,,,,,https://pub.orcid.org/v3.0/0000-0003-3893-2172/work/222690218; https://api.crossref.org/works/10.1039/d6qm00409a; https://shohei-saito.webnode.jp/publication/,
2026,MolAtlas: a visualization framework for molecular property distributions to guide functional molecule development,Kei Terayama; Shoichi Ishida; Sourav Mete; Kensuke Suga; Ryo Tamura; Shohei Saito; Takashi Nakanishi; Masanobu Naito; Koji Tsuda; Masato Sumita,Kei Terayama; Masato Sumita,npj Computational Materials,,,,10.1038/s41524-026-02246-z,,,横浜市立大学・寺山慧先生; 理化学研究所・隅田真人先生,他グループ主導,,,,,https://pub.orcid.org/v3.0/0000-0003-3893-2172/work/190666864; https://api.crossref.org/works/10.1038/s41524-026-02246-z; https://www.nature.com/articles/s41524-026-02246-z,https://chemrxiv.org/engage/chemrxiv/article-details/68ac05eea94eede154710da3
2025,Synthesis of Conformationally Flexible π-Expanded Cyclooctatetraenes,Kensuke Suga; Shohei Saito,Shohei Saito,"Journal of Synthetic Organic Chemistry, Japan",83,5,403-412,10.5059/yukigoseikyokaishi.83.403,,,,齊藤グループ,,,,,https://pub.orcid.org/v3.0/0000-0003-3893-2172/work/184593580; https://api.crossref.org/works/10.5059/yukigoseikyokaishi.83.403; https://shohei-saito.webnode.jp/publication/,
2025,Excited-State Aromatization Drives Nonequilibrium Planarization Dynamics,Yusuke Yoneda; Tomoaki Konishi; Kensuke Suga; Shohei Saito; Hikaru Kuramochi,Shohei Saito; Hikaru Kuramochi,Journal of the American Chemical Society,147,14,12051-12060,10.1021/jacs.4c18623,,,大阪大学基礎工学研究科・倉持光先生,他グループ主導,,,,,https://pub.orcid.org/v3.0/0000-0003-3893-2172/work/184593582; https://api.crossref.org/works/10.1021/jacs.4c18623; https://pubs.acs.org/doi/10.1021/jacs.4c18623,https://doi.org/10.26434/chemrxiv-2024-2pc7l-v2
2025,Qcforever2: Advanced Automation of Quantum Chemistry Computations,Masato Sumita; Kei Terayama; Shoichi Ishida; Kensuke Suga; Shohei Saito; Koji Tsuda,Masato Sumita,Journal of Computational Chemistry,46,3,e70017,10.1002/jcc.70017,,,理化学研究所・隅田真人先生,他グループ主導,,,,,https://pub.orcid.org/v3.0/0000-0003-3893-2172/work/176621070; https://api.crossref.org/works/10.1002/jcc.70017; https://onlinelibrary.wiley.com/doi/10.1002/jcc.70017,
2024,蛍光レシオ型Force Probeの開発と高分子物理への展開,須賀 健介; 齊藤 尚平,齊藤 尚平,光化学,55,3,170-175,10.60391/koukagaku.55.3_170,総説,,,齊藤グループ,,,,,https://pub.orcid.org/v3.0/0000-0003-3893-2172/work/174566583; https://www.jstage.jst.go.jp/browse/koukagaku/55/0/_contents/-char/en,
2025,An Energy‐Tunable Dual Emission Mechanism of the Hybridized Local and Charge Transfer (HLCT) and the Excited State Conjugation Enhancement (ESCE),Kensuke Suga; Keisuke Ochiai; Yusuke Yoneda; Hikaru Kuramochi; Shohei Saito,Hikaru Kuramochi; Shohei Saito,Chemistry – A European Journal,31,18,e202404376,10.1002/chem.202404376,,有機合成,大阪大学基礎工学研究科・倉持光先生,齊藤グループ,,,,,https://pub.orcid.org/v3.0/0000-0003-3893-2172/work/173617178; https://api.crossref.org/works/10.1002/chem.202404376; https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/chem.202404376,https://doi.org/10.26434/chemrxiv-2024-nbknv
2024,Functional Molecules and Materials for Soft Robotics,Kensuke Suga; Shohei Saito,Shohei Saito,Journal of the Robotics Society of Japan,42,8,736-739,10.7210/jrsj.42.736,総説,,,齊藤グループ,,,,,https://pub.orcid.org/v3.0/0000-0003-3893-2172/work/174566570; https://api.crossref.org/works/10.7210/jrsj.42.736,
2023,Dual Ratiometric Fluorescence Monitoring of Mechanical Polymer Chain Stretching and Subsequent Strain-Induced Crystallization,Kensuke Suga; Takuya Yamakado; Shohei Saito,Shohei Saito,Journal of the American Chemical Society,145,49,26799-26809,10.1021/jacs.3c09175,,有機合成; 高分子,,齊藤グループ,,,,,https://pub.orcid.org/v3.0/0000-0003-3893-2172/work/148113261; https://api.crossref.org/works/10.1021/jacs.3c09175; https://pubs.acs.org/doi/abs/10.1021/jacs.3c09175,https://chemrxiv.org/engage/chemrxiv/article-details/6556dbc32c3c11ed718e7a20
